,id,name,description
0,0,worldlyLard0's Booze Buddies,We are the best Booze Buddies
1,1,sadBuzzard9's Partners in Crime,We are the best Partners in Crime
2,2,wearyCaribou4's Travel Buddies,We are the best Travel Buddies
3,3,ardentJaguar3's Friends,We are the best Friends
4,4,curiousMackerel3's Friends,We are the best Friends
5,5,contentCheetah3's Band,We are the best Band
6,6,jumpyAbalone6's Band,We are the best Band
7,7,resolvedWildfowl6's Grocerie Splitters,We are the best Grocerie Splitters
8,8,awedChamois2's Friends,We are the best Friends
9,9,panickyWildfowl3's Band,We are the best Band
10,10,holisticSeahorse9's Grocerie Splitters,We are the best Grocerie Splitters
11,11,similarGelding2's Roommates,We are the best Roommates
12,12,vengefulSeagull8's Roommates,We are the best Roommates
13,13,brainyApricots0's Grocerie Splitters,We are the best Grocerie Splitters
14,14,culturedGatorade5's Booze Buddies,We are the best Booze Buddies
15,15,unhappyHeron9's Booze Buddies,We are the best Booze Buddies
16,16,pacifiedTeal6's Grocerie Splitters,We are the best Grocerie Splitters
17,17,morbidOcelot2's Grocerie Splitters,We are the best Grocerie Splitters
18,18,superiorLlama0's Travel Buddies,We are the best Travel Buddies
19,19,obsessedOrange5's Travel Buddies,We are the best Travel Buddies
20,20,dearSausage9's Roommates,We are the best Roommates
21,21,ferventRuffs3's Band,We are the best Band
22,22,chicWidgeon0's Travel Buddies,We are the best Travel Buddies
23,23,offendedBuck8's Travel Buddies,We are the best Travel Buddies
24,24,wearyZebra5's Roommates,We are the best Roommates
25,25,dreadfulIcecream6's Band,We are the best Band
26,26,ashamedOil6's Roommates,We are the best Roommates
27,27,innocentSyrup8's Travel Buddies,We are the best Travel Buddies
28,28,dopeyLemur1's Booze Buddies,We are the best Booze Buddies
29,29,pitifulMare3's Band,We are the best Band
30,30,euphoricPoultry2's Partners in Crime,We are the best Partners in Crime
31,31,brainyLion0's Grocerie Splitters,We are the best Grocerie Splitters
32,32,yearningCamel8's Travel Buddies,We are the best Travel Buddies
33,33,pridefulApricots7's Partners in Crime,We are the best Partners in Crime
34,34,wrathfulRelish7's Booze Buddies,We are the best Booze Buddies
35,35,sincereMagpie8's Friends,We are the best Friends
36,36,importedRice8's Booze Buddies,We are the best Booze Buddies
37,37,mereDunbird0's Partners in Crime,We are the best Partners in Crime
38,38,cheerfulMeerkat4's Roommates,We are the best Roommates
39,39,wrathfulTeal6's Travel Buddies,We are the best Travel Buddies
40,40,culturedCurlew3's Grocerie Splitters,We are the best Grocerie Splitters
41,41,stressedBaboon7's Band,We are the best Band
42,42,somberBoars5's Partners in Crime,We are the best Partners in Crime
43,43,gleefulCrackers6's Roommates,We are the best Roommates
44,44,pacifiedMandrill1's Booze Buddies,We are the best Booze Buddies
45,45,kindCrackers0's Band,We are the best Band
46,46,superiorMandrill0's Band,We are the best Band
47,47,shyGarlic8's Friends,We are the best Friends
48,48,wakefulToucan9's Band,We are the best Band
49,49,pridefulHyena8's Friends,We are the best Friends
50,50,forsakenCur5's Grocerie Splitters,We are the best Grocerie Splitters
51,51,amazedCrackers1's Band,We are the best Band
52,52,humorousVenison0's Band,We are the best Band
53,53,sheepishChowder5's Friends,We are the best Friends
54,54,wornoutPlover8's Booze Buddies,We are the best Booze Buddies
55,55,empathicOatmeal7's Booze Buddies,We are the best Booze Buddies
56,56,awedQuiche9's Roommates,We are the best Roommates
57,57,dreadfulViper6's Roommates,We are the best Roommates
58,58,annoyedIguana6's Roommates,We are the best Roommates
59,59,insecureCheetah7's Roommates,We are the best Roommates
60,60,pluckyTortoise9's Roommates,We are the best Roommates
61,61,solidDotterel6's Roommates,We are the best Roommates
62,62,dreadfulThrush6's Partners in Crime,We are the best Partners in Crime
63,63,contentLard4's Band,We are the best Band
64,64,debonairOwl5's Band,We are the best Band
